"code_banque";"libelle_banque"
710100;"STB     ZAGHOUAN"
710101;"STB     PONT DU FAHS"
710102;"STB     EL MENZAH 6 +"
710103;"STB     ARIANA"
710104;"STB     AV.J.JAURES TUNIS"
710105;"STB     HAMMAM-LIF"
710106;"STB     MEGRINE"
710107;"STB     PL.VICTOIRE TUNIS"
710108;"STB     GARE TUNIS"
710109;"STB     R.PALESTINE TUNIS"
710110;"STB     KEBILI"
710111;"STB     JERBA MIDOUN"
710112;"STB     LA CHARGUIA"
710113;"STB     LE BELVEDERE"
710114;"STB     BENI KHALLED"
710115;"STB     HAMMAMET MEDINA +"
710116;"STB     AKOUDA"
710117;"STB     NEFTA +"
710119;"STB     DEGUECHE +"
710120;"STB     AEROPORT TUNIS-CARTH"
710121;"STB     HAMMAM SOUSSE"
710122;"STB     GABES-CENTER"
710123;"STB     HAMMAMET ETTAHRIR"
710125;"STB     SFAX JEDIDA"
710126;"STB     SFAX CHAKER II"
710127;"STB     EL MOUANSA  ZARZIS"
710128;"STB     EL MOUROUJ"
710200;"STB     BIZERTE"
710201;"STB     MENZEL BOURGUIBA"
710202;"STB     MATEUR"
710203;"STB     DENDEN"
710204;"STB     SEDJENANE"
710205;"STB     LE KEF"
710206;"STB     BIZERTE MEDINA"
710207;"STB     RAS JEBEL"
710208;"STB     SAKIET SIDI YOUSSEF"
710209;"STB     EL MANAR"
710210;"STB     OUED ELLIL"
710211;"STB     SFAX PORT"
710212;"STB     NEFZA"
710213;"STB     SOUSSE KHEZAMA +"
710220;"STB     DAR JERBA"
710300;"STB     NABEUL"
710301;"STB     HAMMAMET"
710302;"STB     GROMBALIA"
710303;"STB     KORBA"
710304;"STB     KELIBIA"
710305;"STB     MENZEL TEMIME"
710306;"STB     SOLIMAN"
710307;"STB     ENFIDA"
710308;"STB     TROCADERO(SOUSSE NR)"
710309;"STB     KALAAT SENANE"
710311;"STB     JENDOUBA II +"
710312;"STB     LA MARSA"
710313;"STB     SOMAA"
710314;"STB     DOUZ"
710315;"STB     CHARGUIA 2"
710316;"STB     EL HRAIRIA"
710317;"STB     MSAKEN"
710400;"STB     BEJA"
710401;"STB     SILIANA"
710402;"STB     CITE ETTADHAMEN"
710403;"STB     FOUCHANA"
710404;"STB     AGENCE CENTRALE"
710405;"STB     JENDOUBA"
710406;"STB     BOUSALEM"
710407;"STB     AIN-DRAHAM"
710408;"STB     TABARKA"
710409;"STB     SOUSSE EL KANTAOUI"
710500;"STB     SOUSSE"
710501;"STB     MAHDIA"
710502;"STB     MOKNINE"
710503;"STB     KSAR HELLAL"
710504;"STB     MONASTIR"
710505;"STB     KSOUR ESSAF"
710506;"STB     M-SAKEN"
710507;"STB     EL-JEM"
710508;"STB     SOUSSE MEDINA"
710509;"STB     JEMMAL"
710600;"STB     KASSERINE"
710601;"STB     FERIANA"
710602;"STB     MONASTIR II"
710603;"STB     KSIBET EL MEDIOUNI"
710604;"STB     HAOUARIA"
710605;"STB     KAIROUAN"
710606;"STB     HAJEB EL AYOUN"
710607;"STB     BEN AROUS"
710608;"STB     DAR CHAABANE ELFEHRI"
710609;"STB     SOUSSE REPUBLIQUE"
710700;"STB     SFAX HACHED"
710701;"STB     AV.H.CHAKER  SFAX"
710702;"STB     SFAX ZITOUNA"
710703;"STB     SAKIET EZZIT"
710704;"STB     JEBENIANA"
710705;"STB     GABES"
710706;"STB     SKHIRA"
710707;"STB     SFAX MOULINVILLE"
710708;"STB     TEBOURBA"
710709;"STB     RUE MOKHTAR ATTIA"
710800;"STB     GAFSA"
710801;"STB     SIDI BOUZID +"
710802;"STB     NEFTA +"
710803;"STB     TOZEUR"
710804;"STB     METLAOUI"
710805;"STB     SIDI BOUZID"
710806;"STB     JELMA"
710807;"STB     MARETH"
710808;"STB     GHARDIMAOU +"
710809;"STB     EL OUARDANINE"
710900;"STB     MEDENINE"
710901;"STB     ZARZIS"
710902;"STB     BEN GARDANE"
710903;"STB     JERBA"
710904;"STB     TATAOUINE"
710905;"STB     GHOMRASSEN"
710906;"STB     NABEUL II"
710907;"STB     AFRICA"
710908;"STB     RADES"
710909;"STB     MANAR III"
711000;"UBCI    AV.H.BOURG TUNIS"
711001;"UBCI    J ABDENNACEUR TUNIS"
711002;"UBCI    MEGRINE"
711003;"UBCI    PL.PASTEUR TUNIS"
711004;"UBCI    AV.CARTHAGE TUNIS"
711005;"UBCI    MENZAH VI"
711006;"UBCI    MANOUBA"
711007;"UBCI    EL MANAR II"
711008;"UBCI    LA MARSA"
711009;"UBCI    TUNIS MEDINA"
711010;"UBCI    MAHDIA"
711011;"UBCI    CITE ENNASR"
711100;"UBCI    JERBA HOUMT ESSOUK"
711101;"UBCI    LA FAYETTE"
711102;"UBCI    CHAKER"
711103;"UBCI    SOUSSE CORNICHE"
711104;"UBCI    CHARGUIA"
711105;"UBCI    MONASTIR"
711106;"UBCI    ARIANA"
711107;"UBCI    SFAX TENIOUR"
711108;"UBCI    MONASTIR BEMBLA"
711109;"UBCI    KELIBIA"
711200;"UBCI    BIZERTE"
711201;"UBCI    MATEUR +"
711300;"UBCI    NABEUL"
711301;"UBCI    MENZEL BOU ZELFA"
711302;"UBCI    HAMMAMET"
711405;"UBCI    TABARKA +"
711500;"UBCI    SOUSSE 7 NOVEMBRE"
711505;"UBCI    KAIROUAN"
711600;"UBCI    GAFSA"
711605;"UBCI    SIDI BOUZID"
711700;"UBCI    SFAX CHAKER"
711701;"UBCI    SFAX CHEBBI"
711702;"UBCI    SFAX MEDINA"
711703;"UBCI    MAHARES"
711704;"UBCI    SAKIET-EDDAIER"
711705;"UBCI    GABES"
711706;"UBCI    SFAX EL JADIDA"
711707;"UBCI    KSAR HELLAL"
711708;"UBCI    CARTHAGE DERMECH"
711900;"UBCI    SIEGE CENTRAL"
